,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
391,0.0003337671810386,1.5157923559365936e-07,1.4393612586868038e-05,0.0020649004075735,0.000119148314062,TFs_and_others_MNX1,734.0
668,0.0002353236964828,1.1172935924413437e-06,2.1919704156284023e-05,0.0013432180258398,7.644431599879275e-05,Histone_H2BK20ac,800.0
600,0.0006458994368273,3.0883005825884855e-08,8.071490491840089e-06,0.0042245943272189,0.0001548222040155,TFs_and_others_IRF4,800.0
231,0.0002917403007281,1.9762020235894823e-08,2.7701333425007945e-05,0.0015947940605556,0.0001250724450369,TFs_and_others_L3MBTL2,850.0
68,0.0005266653249738,1.6390674538393474e-07,3.660807009256125e-05,0.0011160293604505,8.553636209189237e-05,TFs_and_others_SP3,897.0
627,0.0004943235974091,9.101025573372172e-07,8.191318594558479e-06,0.001232688909338,0.0001073115076416,TFs_and_others_NCAPH2,932.0
1170,0.0001864606744969,3.512712574074694e-08,2.389809656840604e-05,0.0016579634278493,7.322174081660428e-05,TFs_and_others_FOXA3,933.0
98,0.0001763603226167,4.924068447426967e-07,9.1002501231811e-05,0.0010925782140179,5.188501874308805e-05,TFs_and_others_ZNF766,955.0
657,0.0004389119180538,3.1031509554186634e-08,3.687159286233655e-05,0.0011119942148806,0.0001397627472514,TFs_and_others_LMNA,974.0
1844,0.0004115426921849,7.448562241520717e-07,8.002012501739135e-06,0.0011262294208863,0.0001638443354939,TFs_and_others_CNOT3,1000.0
288,0.0003000937979753,4.2803952213900406e-07,1.920795026674526e-05,0.0011222752003966,4.5249954960873846e-05,TFs_and_others_ZFP91,1045.0
1134,0.000308166853306,2.555932082203456e-07,0.0001448159367361,0.0014202178829139,5.910152268340609e-06,TFs_and_others_TCF12,1074.0
1806,0.0005818537842813,6.055656952163913e-08,8.331405778582986e-06,0.001296127884553,5.511347088778027e-05,TFs_and_others_SPEN,1138.0
254,0.0004031567285034,1.6727762051851317e-07,1.6515662658972583e-05,0.0010024786033919,0.0001313884351751,TFs_and_others_NABP2,1139.0
1191,0.0003031909675741,6.734068476964406e-08,1.1314168103295427e-05,0.0012620183178875,4.845081811944973e-05,TFs_and_others_ZXDB,1163.0
1355,0.0003467139965405,1.541484956806901e-07,1.6432693195024474e-05,0.0010222752234233,8.82690362821187e-05,TFs_and_others_SP7,1167.0
1851,0.0002414465828985,7.01285533842747e-07,1.4140349027148056e-05,0.0010502370190905,4.831904685229336e-05,TFs_and_others_HOXB13,1181.0
1898,0.0010042442919051,7.859221468500716e-07,1.454809640803891e-06,0.0011405368794708,6.578283279952182e-05,TFs_and_others_HNRNPC,1252.0
544,0.0002003303946577,5.364372346384352e-07,4.917506542989426e-07,0.0014334362964479,9.352336071182652e-05,TFs_and_others_CDT1,1258.0
388,4.968992326959078e-05,5.1360176391264994e-08,4.643645833338756e-05,0.0014303801400435,1.896637800732055e-05,TFs_and_others_ZNF282,1298.0
1553,0.0002579574643174,1.1303984260028393e-07,1.856810893021071e-07,0.0017297239065133,7.072602907719658e-05,TFs_and_others_MEAF6,1327.0
1852,0.0001954949314061,2.755673891943509e-07,2.021516873323103e-05,0.000991246275995,3.023307510220479e-05,TFs_and_others_ZNF274,1371.0
248,0.0001329301476118,4.864552530131698e-09,1.620765979821317e-05,0.0012628574678424,3.3665690964127274e-05,TFs_and_others_ZSCAN31,1456.0
535,9.963573275151129e-05,1.9979978299081945e-06,7.197352096311831e-06,0.001132979413811,1.9185097942399505e-05,TFs_and_others_MBD6,1462.0
1283,0.0003951834816584,2.664585071472137e-07,2.4530061126420017e-05,0.001041016044744,5.436701683086179e-06,TFs_and_others_PHF21A,1462.0
534,8.967908895525585e-05,1.6212263704045452e-08,2.1239351455622124e-05,0.0011056262736006,3.791314774059912e-05,TFs_and_others_ZNF12,1475.0
1105,0.0001651722047126,2.1076451208773906e-08,3.924323226490268e-05,0.0009646894966921,3.7106542972519966e-05,TFs_and_others_ZNF331,1508.0
697,0.0053290833097557,1.492791589326936e-06,-4.4952672240523565e-06,0.0026862011556159,0.0005480679411429,TFs_and_others_E2F1,1517.0
768,0.0004452511231615,9.554177118286508e-07,6.31669547175906e-06,0.0008598096954458,0.0001572247182139,TFs_and_others_ASUN,1624.0
278,1.3926476241967208e-05,1.2089379499543073e-07,1.6534771319423074e-05,0.0010139792349359,7.147116498677302e-05,Histone_H3K32ac,1659.0
287,0.0001396551975319,5.543071389551585e-07,2.2044786059659947e-05,0.0008378810076034,0.0001039983766852,TFs_and_others_KLF6,1691.0
210,0.0003751151492842,1.1138576207991157e-06,9.352808559567706e-05,0.0008009048365746,0.0001047654015367,TFs_and_others_CPSF3,1699.0
691,0.0003850032823499,-2.6538922360599057e-07,0.0002952585115616,0.0041089950456629,0.0009209413764407,Histone_H3ac,1708.0
688,2.2796188686789354e-05,1.0976511753157995e-07,2.009760882143605e-05,0.0009738350304975,3.542978866230726e-05,TFs_and_others_SMARCE1,1730.0
1941,0.000917602963954,6.144486682296671e-07,-5.854469219721145e-06,0.0019466852642734,0.0002341234971716,TFs_and_others_KDM2A,1747.0
775,4.2560269787964896e-05,5.062698377278539e-07,2.0837008361024943e-05,0.0009578127967981,1.385334640802859e-05,TFs_and_others_NR1H3,1761.0
825,7.723740527229461e-05,3.427834968783575e-06,3.142256970456213e-06,0.0010264865650063,1.5660178177591455e-05,TFs_and_others_MYBL2,1798.0
574,6.667490180513743e-05,3.384839913044735e-07,8.43590831213697e-06,0.0010737955458875,5.939463881934691e-06,TFs_and_others_FOSL1,1809.0
681,6.521807233210393e-05,9.969918868913651e-09,1.847022515055424e-06,0.0012156739339207,4.684522667059853e-05,TFs_and_others_ISL2,1812.0
111,3.443675294600681e-05,2.465586869860743e-07,3.1431948410568974e-06,0.0009883358137185,7.285877662750814e-05,TFs_and_others_POU2AF1,1814.0
1813,5.309359948853571e-05,5.490193968460072e-09,1.0504195877168938e-05,0.0010998454021027,2.5736763320928173e-05,TFs_and_others_RTA,1825.0
1270,0.0001919448180419,2.2301891652689336e-08,4.416905151433466e-06,0.0010120577345387,2.6625223485836526e-05,TFs_and_others_MYNN,1826.0
1666,0.0023539569909043,1.0714838108567583e-06,-1.547823536744011e-05,0.0021058990581183,0.0004014998156781,TFs_and_others_SMARCC1,1829.0
243,0.0048508421383274,-8.554847446024323e-07,8.713216882581698e-05,0.0022782479363041,0.0006111728768247,TFs_and_others_ARNT,1837.0
