,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
957,0.0007777614362729,1.1696395377301624e-05,0.0002748733597653,-0.0015240800926364,0.0006188225925298,TFs_and_others_ARID2,726.0
1534,0.0026003638264581,7.983932725904912e-05,0.0009062186712859,-0.001810504996793,0.0007352463663211,TFs_and_others_ASPSCR1,753.0
1421,0.0020970457319288,4.085907745986156e-05,0.0001730332584568,-0.0019277770021961,0.0003705706647225,TFs_and_others_ZNF768,1024.0
1381,0.0005816681130157,2.608603952086819e-05,0.0003757905943633,-0.0018230440922653,0.0002416140496743,TFs_and_others_ZEB1,1025.0
1875,0.0007080978353703,7.849413038390417e-06,2.119955559873413e-05,-0.0015301659516648,0.0004090094414885,Histone_H4K8ac,1041.0
283,0.0009349690287159,2.740564504077832e-06,9.29077991942301e-05,-0.0015947941577605,0.0003326020939064,TFs_and_others_SMAD3,1058.0
139,0.000632028844888,8.178300799316392e-06,0.0002893089564868,-0.0017164607449937,0.0001013113147256,TFs_and_others_HIRA,1093.0
1029,0.0034784715463086,2.907512906297769e-05,0.0009319463081927,-0.002338063885845,0.0019403506021505,TFs_and_others_KDM2B,1094.0
726,0.0006122227335978,3.627422605683767e-07,0.0001353757064064,-0.0009330377050158,0.0001686209397187,TFs_and_others_NELFCD,1138.0
68,0.0005407580024984,1.0215970850644965e-05,4.0611308007339206e-05,-0.0016146736691353,0.0001304130146979,TFs_and_others_SP3,1149.0
1004,8.228151010507971e-05,6.910912792892806e-06,0.0002569023315716,-0.0015257854464853,7.878410540496287e-05,TFs_and_others_CXXC5,1182.0
712,0.0004580115722477,6.811051558953632e-06,0.0003435748081153,-0.0020822433931832,0.0004160060035935,TFs_and_others_TP53,1277.0
1842,0.0034771977768333,3.78617855873417e-05,0.0021400908279334,-0.0030114040505799,0.0030099460798179,TFs_and_others_FOXA1,1300.0
1003,0.0003758446266878,1.4451460217934464e-06,2.8659956927229475e-06,-0.0010534516596688,0.000249205310865,TFs_and_others_RBBP7,1353.0
1751,0.0009375650890712,1.6252399473372824e-05,0.0001700790723847,-0.001978702027996,4.00698321186195e-05,TFs_and_others_EBV-ZEBRA,1361.0
1363,0.00625566924378,5.852806867192109e-05,0.0010972351760897,-0.0033717317281164,0.0025650285961065,TFs_and_others_VEZF1,1365.0
758,0.0001509053399227,3.455280100069025e-06,2.342925181826838e-05,-0.0015338227713341,7.963985581222107e-05,TFs_and_others_CPSF3L,1421.0
254,0.0042248412773646,3.803056712672028e-05,0.000504592762089,-0.0033937000823644,0.0025137210910133,TFs_and_others_NABP2,1445.0
1163,0.0003748066798512,8.632924736361856e-06,6.888509291612648e-05,-0.0019469474205215,8.551107523524944e-05,TFs_and_others_CEBPB,1458.0
1374,0.0001303527888404,1.280663030678724e-06,8.124777668866381e-05,-0.0016823644027026,0.0002190889972254,TFs_and_others_CEBPA,1488.0
1180,0.0001324889832148,1.0454379252616325e-05,0.0001683903681263,-0.0018374054639387,3.2146483670269045e-05,TFs_and_others_ZNF148,1490.0
633,8.08342973328532e-05,5.242033983353222e-06,6.398560123627132e-05,-0.0016585491868981,3.792292921950408e-05,TFs_and_others_ZBTB10,1535.0
1609,7.749799194617224e-05,4.103594065915992e-06,4.8272141724552776e-05,-0.0017627101499802,0.0001514803073529,TFs_and_others_SMARCC2,1540.0
900,0.0015862016084595,2.592714797856996e-05,1.0827674213942372e-05,-0.0017852675608476,1.8162426585528e-05,TFs_and_others_AGO2,1540.0
1396,0.0022562296872446,7.938424210535115e-06,0.0004766276244131,-0.0032422349419253,0.0010773568853231,TFs_and_others_WAS,1564.0
1059,0.004490835973827,8.709355082084419e-05,0.0015847587731762,-0.0050717771786422,0.0019534189629024,TFs_and_others_RORC,1593.0
263,0.0006329656332797,1.028426957170896e-05,0.0003321933205029,-0.0028541870485085,0.0004926821546322,TFs_and_others_FGFR1,1595.0
1394,0.0017194895868671,3.747928778595036e-05,0.0008681497741615,-0.0039228248315884,0.001071319376337,TFs_and_others_MXI1,1597.0
1594,0.000358200380672,4.705128052024218e-06,0.0001359437599331,-0.0020400625494693,3.5366986286684254e-05,TFs_and_others_EMSY,1613.0
1385,0.002485165580405,4.7552673299050526e-06,0.0004665890340219,-0.0033665845431533,0.0012592386822165,TFs_and_others_TAF1,1632.0
1296,2.065351224048592e-05,2.538297227186177e-06,1.7237762216230194e-05,-0.0012334982470968,3.135615352732945e-05,TFs_and_others_ETV4,1648.0
1648,8.57009135312686e-05,9.645464402920116e-06,6.170124249370335e-05,-0.0019124070137839,5.023612177744387e-05,TFs_and_others_LDB2,1652.0
1743,0.0003147973025738,1.1020605359257103e-06,8.765851552280682e-06,-0.0017388618767993,0.0004425144359919,TFs_and_others_GTF3C2,1664.0
814,0.0004255412568881,8.10664256611725e-06,0.0001280918371931,-0.0024245531741569,0.0001182541133206,TFs_and_others_OGT,1665.0
1499,0.0003668804811098,4.141447057577091e-05,0.0002599899553203,-0.0025055382688506,4.511349883246665e-05,Histone_H2A.XS139ph,1668.0
